type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,108943,,
94  ,21150,,,1,,
5   ,24116,,,1,,
9   ,25515,,,1,,
13  ,26190,,,1,,
5   ,26715,,,1,,
9   ,28115,,,1,,
13  ,29100,,,1,,
5   ,29315,,,1,,
9   ,31515,,,1,,
13  ,32541,,,1,,
5   ,32716,,,1,,
9   ,35716,,,1,,
13  ,36351,,,1,,
5   ,36916,,,1,,
8   ,38316,,,1,,
12  ,39321,,,1,,
5   ,39516,,,1,,
9   ,40916,,,1,,
13  ,41571,,,1,,
5   ,42116,,,1,,
9   ,44316,,,1,,
13  ,45121,,,1,,
5   ,45516,,,1,,
8   ,47716,,,1,,
12  ,48506,,,1,,
5   ,48916,,,1,,
8   ,51116,,,1,,
12  ,52221,,,1,,
5   ,52316,,,1,,
9   ,54516,,,1,,
13  ,55256,,,1,,
5   ,55716,,,1,,
8   ,58716,,,1,,
12  ,59591,,,1,,
5   ,59916,,,1,,
8   ,61316,,,1,,
5   ,62517,,,1,,
8   ,65517,,,1,,
12  ,66202,,,1,,
5   ,66717,,,1,,
8   ,68917,,,1,,
12  ,69742,,,1,,
5   ,70117,,,1,,
8   ,71517,,,1,,
5   ,72717,,,1,,
8   ,75717,,,1,,
12  ,76677,,,1,,
5   ,76917,,,1,,
9   ,79117,,,1,,
13  ,80317,,,1,,
5   ,80318,,,1,,
9   ,83317,,,1,,
13  ,84262,,,1,,
5   ,84517,,,1,,
9   ,87517,,,1,,
13  ,88357,,,1,,
5   ,88717,,,1,,
8   ,90117,,,1,,
5   ,91317,,,1,,
8   ,94317,,,1,,
12  ,95187,,,1,,
5   ,95518,,,1,,
8   ,97717,,,1,,
5   ,98918,,,1,,
9   ,100318,,,1,,
13  ,101478,,,1,,
5   ,101518,,,1,,
9   ,104518,,,1,,
13  ,105678,,,1,,
5   ,105718,,,1,,
break cnt,108944,epoch,,83220,,
9999,131655,,,1,,
