type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,131790,,
97  ,20009,,,1,,
4   ,20778,,,1,,
8   ,21036,,,1,,
4   ,22490,,,1,,
8   ,22745,,,1,,
4   ,24200,,,1,,
8   ,24455,,,1,,
4   ,25910,,,1,,
8   ,26165,,,1,,
4   ,27620,,,1,,
8   ,27876,,,1,,
4   ,29330,,,1,,
8   ,29586,,,1,,
4   ,31041,,,1,,
8   ,31296,,,1,,
4   ,32751,,,1,,
8   ,33006,,,1,,
4   ,34461,,,1,,
8   ,34716,,,1,,
4   ,36171,,,1,,
8   ,36426,,,1,,
4   ,37881,,,1,,
8   ,38136,,,1,,
4   ,39591,,,1,,
8   ,39846,,,1,,
4   ,41301,,,1,,
8   ,41556,,,1,,
4   ,43011,,,1,,
8   ,43266,,,1,,
4   ,44721,,,1,,
8   ,44976,,,1,,
4   ,46431,,,1,,
8   ,46686,,,1,,
4   ,48141,,,1,,
8   ,48396,,,1,,
4   ,49851,,,1,,
8   ,50106,,,1,,
4   ,51561,,,1,,
8   ,51816,,,1,,
4   ,53271,,,1,,
8   ,53526,,,1,,
4   ,54981,,,1,,
8   ,55236,,,1,,
4   ,56691,,,1,,
8   ,56946,,,1,,
4   ,58401,,,1,,
8   ,58656,,,1,,
4   ,60112,,,1,,
8   ,60366,,,1,,
4   ,61822,,,1,,
8   ,62077,,,1,,
4   ,63532,,,1,,
8   ,63787,,,1,,
4   ,65242,,,1,,
8   ,65497,,,1,,
4   ,66952,,,1,,
8   ,67207,,,1,,
4   ,68662,,,1,,
8   ,68917,,,1,,
4   ,70377,,,1,,
8   ,70632,,,1,,
4   ,72087,,,1,,
8   ,72342,,,1,,
4   ,73797,,,1,,
8   ,74052,,,1,,
4   ,75507,,,1,,
8   ,75762,,,1,,
4   ,77217,,,1,,
8   ,77472,,,1,,
4   ,78927,,,1,,
8   ,79182,,,1,,
4   ,80637,,,1,,
8   ,80892,,,1,,
4   ,82347,,,1,,
8   ,82602,,,1,,
4   ,84057,,,1,,
8   ,84312,,,1,,
4   ,85767,,,1,,
8   ,86022,,,1,,
4   ,87477,,,1,,
8   ,87732,,,1,,
4   ,89187,,,1,,
8   ,89442,,,1,,
4   ,90898,,,1,,
8   ,91153,,,1,,
4   ,92608,,,1,,
8   ,92863,,,1,,
4   ,94318,,,1,,
8   ,94573,,,1,,
4   ,96028,,,1,,
8   ,96283,,,1,,
4   ,97738,,,1,,
8   ,97993,,,1,,
4   ,99448,,,1,,
8   ,99703,,,1,,
4   ,101158,,,1,,
8   ,101413,,,1,,
4   ,102868,,,1,,
8   ,103123,,,1,,
4   ,104583,,,1,,
8   ,104838,,,1,,
4   ,106293,,,1,,
8   ,106548,,,1,,
4   ,108003,,,1,,
8   ,108258,,,1,,
4   ,109713,,,1,,
8   ,109968,,,1,,
4   ,111423,,,1,,
8   ,111678,,,1,,
4   ,113133,,,1,,
8   ,113388,,,1,,
4   ,114843,,,1,,
8   ,115098,,,1,,
4   ,116554,,,1,,
8   ,116808,,,1,,
4   ,118263,,,1,,
8   ,118518,,,1,,
4   ,119974,,,1,,
8   ,120229,,,1,,
4   ,121684,,,1,,
8   ,121939,,,1,,
4   ,123394,,,1,,
8   ,123649,,,1,,
4   ,125104,,,1,,
8   ,125359,,,1,,
4   ,126814,,,1,,
8   ,127069,,,1,,
4   ,128524,,,1,,
8   ,128779,,,1,,
break cnt,131791,epoch,,120045,,
9999,149223,,,1,,
