type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,125342,,
96  ,37689,,,1,,
5   ,40568,,,1,,
8   ,42770,,,1,,
12  ,43604,,,1,,
5   ,43969,,,1,,
8   ,46969,,,1,,
12  ,47969,,,1,,
5   ,48169,,,1,,
9   ,50370,,,1,,
5   ,51570,,,1,,
13  ,51620,,,1,,
8   ,53770,,,1,,
12  ,54499,,,1,,
5   ,54970,,,1,,
9   ,57970,,,1,,
13  ,58640,,,1,,
5   ,59170,,,1,,
12  ,61235,,,1,,
9   ,62170,,,1,,
13  ,63100,,,1,,
5   ,63370,,,1,,
8   ,65570,,,1,,
12  ,66320,,,1,,
5   ,66770,,,1,,
9   ,68170,,,1,,
13  ,69245,,,1,,
5   ,69370,,,1,,
9   ,70770,,,1,,
13  ,71945,,,1,,
5   ,71970,,,1,,
8   ,74970,,,1,,
12  ,75795,,,1,,
5   ,76170,,,1,,
8   ,78370,,,1,,
12  ,79255,,,1,,
5   ,79570,,,1,,
8   ,82571,,,1,,
12  ,83441,,,1,,
5   ,83771,,,1,,
8   ,85170,,,1,,
12  ,86111,,,1,,
5   ,86371,,,1,,
9   ,89371,,,1,,
13  ,90326,,,1,,
5   ,90571,,,1,,
9   ,92771,,,1,,
5   ,93971,,,1,,
8   ,95371,,,1,,
12  ,96221,,,1,,
5   ,96571,,,1,,
9   ,97971,,,1,,
5   ,99171,,,1,,
8   ,100571,,,1,,
12  ,101696,,,1,,
5   ,101771,,,1,,
8   ,103171,,,1,,
12  ,104206,,,1,,
5   ,104376,,,1,,
9   ,105776,,,1,,
13  ,106686,,,1,,
5   ,106976,,,1,,
9   ,109176,,,1,,
12  ,110232,,,1,,
5   ,110377,,,1,,
13  ,111362,,,1,,
9   ,112577,,,1,,
13  ,113342,,,1,,
5   ,113777,,,1,,
8   ,116777,,,1,,
13  ,117897,,,1,,
5   ,117977,,,1,,
12  ,118067,,,1,,
9   ,120977,,,1,,
12  ,122032,,,1,,
13  ,122147,,,1,,
5   ,122177,,,1,,
break cnt,125343,epoch,,103567,,
9999,142736,,,1,,
