## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5476                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2149915427	SMP	1	1285.10	563.48	1011.59	559.13	13.73	13.73	2.70	13.53	13.53	2.67	1283.73	567.58	1291.89	567.52	1010.84	562.92	1019.62	562.98	1113.12	651.48	1041.99	645.11	0	1	1	2	-1	-1	11.31	38.99	640.58	65.71	39.36	631.39	0.10	0.11	-0.99	0.05	0.09	-0.99	0		
2149948773	SMP	1	1284.89	563.91	1011.39	559.30	13.76	13.76	2.69	13.48	13.48	2.64	1283.62	568.01	1291.80	567.93	1010.70	563.21	1019.49	563.15	1114.00	649.79	1045.29	644.03	0	1	1	2	-1	-1	11.33	38.90	640.48	64.91	38.81	623.40	0.10	0.11	-0.99	0.05	0.09	-0.99	0		
2149982089	SMP	1	1284.95	564.10	1011.60	559.58	13.63	13.63	2.68	13.54	13.54	2.63	1283.71	568.25	1291.87	568.15	1010.87	563.44	1019.57	563.65	1113.25	647.11	1045.09	641.31	0	1	1	2	-1	-1	11.31	38.85	640.43	64.90	38.75	623.55	0.10	0.11	-0.99	0.05	0.10	-0.99	0		
2150015437	SMP	1	1285.43	564.19	1011.73	559.25	13.67	13.67	2.67	13.26	13.26	2.61	1284.06	568.27	1292.29	568.18	1011.25	563.35	1019.79	563.61	1110.58	646.44	1055.18	633.19	0	1	1	2	-1	-1	11.23	38.83	640.08	65.38	39.09	628.79	0.10	0.11	-0.99	0.05	0.11	-0.99	0		
2150048749	SMP	1	1285.59	564.43	1011.82	558.97	13.80	13.80	2.67	12.95	12.95	2.58	1284.21	568.47	1292.44	568.34	1011.41	563.41	1019.82	563.59	1108.35	645.51	1062.76	608.54	0	1	1	2	-1	-1	11.19	38.77	639.76	65.74	39.31	632.43	0.10	0.10	-0.99	0.06	0.12	-0.99	0		
2150082091	SMP	1	1285.29	564.45	1011.59	559.27	13.72	13.72	2.66	13.09	13.09	2.56	1284.02	568.55	1292.15	568.45	1011.15	563.48	1019.72	563.67	1107.27	644.71	1066.94	620.71	0	1	1	2	-1	-1	11.24	38.76	639.90	65.18	38.94	626.64	0.10	0.11	-0.99	0.06	0.11	-0.99	0		
2150115412	SMP	1	1285.23	564.39	1011.67	559.23	13.62	13.62	2.65	13.07	13.07	2.55	1283.98	568.60	1292.06	568.48	1011.03	563.38	1019.64	563.60	1105.40	641.45	1061.51	620.69	0	1	1	2	-1	-1	11.26	38.77	640.22	64.98	38.83	624.61	0.10	0.11	-0.99	0.05	0.11	-0.99	0		
2150148745	SMP	1	1285.84	564.69	1011.92	558.89	13.75	13.75	2.65	12.64	12.64	2.52	1284.23	568.69	1292.47	568.68	1011.35	563.46	1019.76	563.58	1097.71	642.61	1064.19	594.97	0	1	1	2	-1	-1	11.19	38.72	639.88	65.34	39.06	628.40	0.09	0.11	-0.99	0.05	0.13	-0.99	0		
2150182066	SMP	1	1285.57	564.95	1012.04	559.36	13.23	13.23	2.63	12.28	12.28	2.48	1284.38	568.99	1292.55	568.90	1011.41	563.66	1019.89	563.79	1102.41	641.63	1064.17	606.64	0	1	1	2	-1	-1	11.17	38.67	639.92	65.14	38.91	626.73	0.10	0.11	-0.99	0.05	0.11	-0.99	0		
2150215405	SMP	1	1285.63	565.02	1011.91	559.40	13.33	13.33	2.62	12.30	12.30	2.46	1284.33	569.03	1292.56	568.99	1011.37	563.75	1019.78	563.81	1101.03	641.95	1067.43	602.68	0	1	1	2	-1	-1	11.17	38.65	639.72	65.23	38.95	627.45	0.10	0.11	-0.99	0.05	0.12	-0.99	0		
2150248727	SMP	1	1285.62	564.76	1011.90	559.22	13.10	13.10	2.60	12.19	12.19	2.43	1284.38	568.95	1292.56	568.89	1011.38	563.59	1019.90	563.57	1101.13	639.60	1070.35	602.62	0	1	1	2	-1	-1	11.16	38.66	639.70	65.05	38.88	625.81	0.10	0.11	-0.99	0.05	0.11	-0.99	0		
2150282068	SMP	1	1285.77	564.97	1012.13	559.33	13.06	13.06	2.58	12.16	12.16	2.40	1284.58	569.22	1292.73	569.09	1011.64	563.76	1020.11	563.80	1102.65	638.63	1071.66	597.47	0	1	1	2	-1	-1	11.12	38.62	639.79	65.04	38.87	626.15	0.10	0.11	-0.99	0.05	0.12	-0.99	0		
