## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5542                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1415130183	SMP	1	1317.82	565.63	1034.93	535.84	16.96	16.96	3.08	15.68	15.68	2.85	1316.39	569.42	1325.26	569.34	1034.34	539.60	1043.34	539.67	1097.65	678.36	1082.47	688.43	0	1	1	2	-1	-1	4.41	37.01	613.79	58.68	42.36	607.57	0.11	0.09	-0.99	0.06	0.08	-0.99	0		
1415163530	SMP	1	1317.57	565.08	1034.85	535.73	16.79	16.79	3.08	16.13	16.13	2.87	1316.32	568.92	1325.18	568.88	1034.35	539.22	1043.26	539.32	1100.91	676.41	1084.15	691.94	0	1	1	2	-1	-1	4.43	37.11	613.92	58.74	42.47	608.12	0.12	0.09	-0.99	0.06	0.07	-1.00	0		
1415196845	SMP	1	1317.61	564.84	1034.95	536.00	16.45	16.45	3.07	16.20	16.20	2.89	1316.25	568.93	1325.09	568.91	1034.30	539.27	1043.24	539.38	1099.94	669.00	1082.17	698.09	0	1	1	2	-1	-1	4.44	37.12	614.14	58.78	42.48	608.43	0.11	0.10	-0.99	0.06	0.06	-1.00	0		
1415230192	SMP	1	1317.82	565.42	1034.92	535.90	17.08	17.08	3.09	15.96	15.96	2.90	1316.35	569.23	1325.22	569.11	1034.36	539.49	1043.34	539.50	1098.48	672.56	1086.57	695.09	0	1	1	2	-1	-1	4.42	37.07	614.17	58.78	42.46	608.58	0.11	0.09	-0.99	0.06	0.07	-1.00	0		
1415263503	SMP	1	1317.75	565.70	1035.06	535.84	17.26	17.26	3.11	15.78	15.78	2.90	1316.36	569.26	1325.26	569.17	1034.35	539.56	1043.32	539.60	1100.38	676.10	1085.92	691.48	0	1	1	2	-1	-1	4.42	37.06	614.10	58.80	42.46	608.75	0.11	0.08	-0.99	0.06	0.08	-1.00	0		
1415296838	SMP	1	1317.46	564.94	1034.69	535.69	16.42	16.42	3.09	15.66	15.66	2.90	1315.97	569.11	1324.82	569.06	1033.96	539.46	1043.09	539.47	1097.83	662.23	1087.06	689.35	0	1	1	2	-1	-1	4.50	37.09	614.25	58.83	42.46	608.47	0.11	0.10	-0.99	0.06	0.08	-1.00	0		
1415330164	SMP	1	1317.14	565.03	1034.34	535.79	16.74	16.74	3.09	16.17	16.17	2.91	1315.76	568.85	1324.68	568.87	1033.68	539.28	1042.94	539.40	1099.80	667.67	1089.50	693.37	0	1	1	2	-1	-1	4.53	37.13	614.13	58.77	42.41	607.39	0.12	0.09	-0.99	0.06	0.07	-1.00	0		
1415363503	SMP	1	1317.49	565.05	1034.57	535.99	16.52	16.52	3.08	16.03	16.03	2.91	1315.98	569.05	1324.88	569.02	1033.94	539.48	1043.08	539.47	1098.78	663.20	1090.36	695.43	0	1	1	2	-1	-1	4.49	37.09	614.04	58.70	42.36	607.12	0.11	0.10	-0.99	0.06	0.07	-1.00	0		
1415396840	SMP	1	1317.71	565.65	1034.90	536.16	16.97	16.97	3.09	15.98	15.98	2.92	1316.36	569.38	1325.23	569.33	1034.25	539.67	1043.28	539.85	1100.53	669.66	1090.00	693.60	0	1	1	2	-1	-1	4.42	37.03	614.05	58.67	42.32	607.26	0.12	0.09	-0.99	0.06	0.07	-1.00	0		
1415430163	SMP	1	1317.57	565.03	1034.71	535.95	16.14	16.14	3.07	15.91	15.91	2.92	1316.16	569.11	1325.01	569.06	1034.11	539.54	1043.16	539.54	1099.24	659.30	1092.08	694.92	0	1	1	2	-1	-1	4.46	37.08	614.05	58.68	42.35	607.07	0.11	0.10	-0.99	0.06	0.07	-1.00	0		
1415463516	SMP	1	1317.34	565.13	1034.63	536.02	16.40	16.40	3.06	16.20	16.20	2.93	1315.97	569.01	1324.82	568.97	1033.88	539.42	1043.07	539.46	1098.32	662.39	1090.31	699.24	0	1	1	2	-1	-1	4.50	37.10	614.08	58.62	42.31	606.22	0.11	0.09	-0.99	0.06	0.06	-1.00	0		
1415496830	SMP	1	1317.40	565.14	1034.60	535.91	16.33	16.33	3.05	15.64	15.64	2.91	1316.11	569.16	1324.93	569.10	1034.08	539.57	1043.12	539.58	1099.80	657.68	1091.91	696.46	0	1	1	2	-1	-1	4.48	37.08	614.24	58.63	42.30	606.49	0.12	0.10	-0.99	0.06	0.07	-1.00	0		
