## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7810                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
480934213	SMP	1	1309.63	550.71	1023.14	530.75	14.03	14.03	2.55	13.83	13.83	2.53	1303.94	557.71	1312.97	557.77	1017.97	537.61	1027.48	538.03	643.91	427.88	652.49	401.37	0	1	1	2	-1	-1	6.73	38.78	606.04	60.30	41.69	592.99	-0.06	0.21	-0.98	-0.11	0.20	-0.97	0		
480967542	SMP	1	1310.01	551.23	1023.44	531.34	13.98	13.98	2.55	13.93	13.93	2.52	1304.28	558.19	1313.35	558.24	1018.36	538.13	1027.79	538.34	642.17	428.73	650.56	404.41	0	1	1	2	-1	-1	6.67	38.69	606.09	60.25	41.62	593.07	-0.06	0.21	-0.98	-0.11	0.20	-0.97	0		
481000883	SMP	1	1310.35	551.11	1023.78	531.22	14.02	14.02	2.55	13.72	13.72	2.51	1304.83	558.20	1313.84	558.15	1018.65	538.04	1028.30	538.26	646.49	427.11	651.66	404.95	0	1	1	2	-1	-1	6.57	38.72	606.42	60.08	41.57	592.19	-0.05	0.21	-0.98	-0.11	0.20	-0.97	0		
481034206	SMP	1	1310.50	550.84	1023.51	530.82	14.16	14.16	2.56	14.22	14.22	2.51	1304.75	557.71	1313.80	557.75	1018.53	537.56	1028.17	537.80	643.18	429.36	656.31	407.42	0	1	1	2	-1	-1	6.58	38.82	606.62	60.04	41.62	591.60	-0.06	0.21	-0.98	-0.10	0.19	-0.98	0		
481067536	SMP	1	1310.02	550.79	1023.16	531.04	13.86	13.86	2.55	14.39	14.39	2.52	1304.32	557.81	1313.39	557.82	1017.99	537.70	1027.50	538.08	643.39	428.40	650.82	408.42	0	1	1	2	-1	-1	6.66	38.80	606.68	60.17	41.58	591.68	-0.06	0.21	-0.98	-0.11	0.19	-0.97	0		
481100864	SMP	1	1309.77	551.32	1022.74	531.52	14.39	14.39	2.57	14.14	14.14	2.52	1304.17	558.24	1313.19	558.28	1017.71	538.28	1027.29	538.39	644.60	429.15	653.68	410.37	0	1	1	2	-1	-1	6.70	38.73	606.90	60.16	41.46	591.17	-0.05	0.21	-0.98	-0.10	0.19	-0.98	0		
481134189	SMP	1	1310.03	551.19	1022.99	531.65	14.04	14.04	2.56	14.22	14.22	2.53	1304.34	558.21	1313.44	558.26	1017.85	538.35	1027.38	538.53	644.38	428.17	651.17	411.86	0	1	1	2	-1	-1	6.66	38.73	606.82	60.13	41.44	591.12	-0.06	0.21	-0.98	-0.11	0.19	-0.98	0		
481167521	SMP	1	1310.19	550.72	1022.94	531.29	14.32	14.32	2.57	14.33	14.33	2.53	1304.49	557.72	1313.56	557.82	1017.90	538.04	1027.44	538.22	644.00	427.49	652.66	412.23	0	1	1	2	-1	-1	6.63	38.83	606.93	60.11	41.49	590.99	-0.06	0.21	-0.98	-0.11	0.19	-0.98	0		
481200853	SMP	1	1309.87	550.70	1022.78	531.10	14.62	14.62	2.59	14.04	14.04	2.53	1304.28	557.70	1313.35	557.75	1017.66	537.98	1027.33	538.25	645.47	427.20	652.91	410.49	0	1	1	2	-1	-1	6.68	38.85	607.05	60.08	41.45	590.33	-0.05	0.21	-0.98	-0.11	0.20	-0.97	0		
481234178	SMP	1	1309.53	550.97	1022.47	531.49	14.48	14.48	2.60	14.26	14.26	2.53	1303.93	557.98	1312.90	557.99	1017.42	538.35	1027.07	538.48	645.55	426.85	654.10	411.06	0	1	1	2	-1	-1	6.76	38.82	607.42	60.08	41.36	589.91	-0.05	0.21	-0.98	-0.10	0.20	-0.98	0		
481267507	SMP	1	1309.48	551.03	1022.52	531.73	14.47	14.47	2.61	14.26	14.26	2.53	1303.73	558.00	1312.81	558.06	1017.39	538.51	1026.97	538.81	644.33	426.45	651.79	410.80	0	1	1	2	-1	-1	6.78	38.81	607.35	60.08	41.30	589.76	-0.06	0.21	-0.98	-0.11	0.20	-0.97	0		
481300833	SMP	1	1309.53	550.65	1022.65	531.51	14.52	14.52	2.61	13.87	13.87	2.52	1303.89	557.69	1312.96	557.75	1017.55	538.26	1027.18	538.42	645.58	425.52	653.14	413.25	0	1	1	2	-1	-1	6.75	38.86	607.29	60.01	41.34	589.44	-0.05	0.21	-0.98	-0.11	0.19	-0.98	0		
481334167	SMP	1	1305.71	549.03	1018.98	530.15	14.50	14.50	2.62	14.26	14.26	2.52	1301.62	556.43	1310.65	556.42	1015.56	537.26	1025.10	537.27	811.00	419.50	823.83	412.83	0	1	1	2	-1	-1	7.20	39.12	607.49	60.40	41.55	589.51	0.01	0.23	-0.97	-0.04	0.20	-0.98	0		
481367502	SMP	1	1305.33	549.06	1018.60	530.23	14.51	14.51	2.63	14.41	14.41	2.53	1301.31	556.63	1310.25	556.60	1015.21	537.46	1024.50	537.54	812.04	407.71	819.15	410.42	0	1	1	2	-1	-1	7.27	39.12	607.96	60.60	41.58	590.59	0.01	0.23	-0.97	-0.05	0.21	-0.98	0		
481400827	SMP	1	1305.13	549.47	1018.37	530.59	14.53	14.53	2.63	14.12	14.12	2.53	1301.08	556.95	1310.11	556.88	1014.86	537.74	1024.30	537.97	813.35	406.09	816.30	407.80	0	1	1	2	-1	-1	7.31	39.07	608.11	60.65	41.51	590.57	0.01	0.23	-0.97	-0.05	0.21	-0.98	0		
481434158	SMP	1	1305.12	549.21	1018.36	530.61	14.11	14.11	2.62	14.06	14.06	2.53	1301.17	556.99	1310.14	556.85	1014.82	537.80	1024.28	537.99	815.61	388.02	814.43	404.94	0	1	1	2	-1	-1	7.30	39.08	608.34	60.66	41.51	590.70	0.01	0.24	-0.97	-0.05	0.21	-0.98	0		
