## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6913                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3072779978	SMP	1	1313.89	589.73	1042.36	572.22	17.77	17.77	3.33	15.97	15.97	2.99	1312.42	592.94	1320.72	592.95	1042.10	575.04	1050.39	575.27	1020.84	502.22	989.28	481.00	0	1	1	2	-1	-1	5.44	33.65	637.04	59.51	36.92	631.50	0.10	0.08	-0.99	0.07	0.06	-1.00	0		
3072813304	SMP	1	1313.03	590.62	1041.90	573.10	17.57	17.57	3.33	16.60	16.60	3.02	1311.61	593.86	1319.82	593.89	1041.28	575.88	1049.50	576.11	1020.19	502.45	973.86	481.01	0	1	1	2	-1	-1	5.61	33.47	637.26	59.76	36.80	632.34	0.10	0.08	-0.99	0.05	0.06	-1.00	0		
3072846657	SMP	1	1312.29	589.34	1040.89	571.70	17.83	17.83	3.35	16.41	16.41	3.04	1310.86	592.47	1319.18	592.47	1040.54	574.54	1048.96	574.56	1019.25	503.30	987.42	481.33	0	1	1	2	-1	-1	5.75	33.75	637.06	59.83	37.05	631.69	0.10	0.08	-0.99	0.07	0.06	-1.00	0		
3072879962	SMP	1	1313.65	588.63	1042.56	571.31	17.74	17.74	3.36	16.50	16.50	3.06	1312.23	591.89	1320.45	591.86	1041.99	573.95	1050.34	574.14	1019.06	503.35	971.55	483.68	0	1	1	2	-1	-1	5.49	33.87	637.22	59.58	37.17	632.03	0.10	0.08	-0.99	0.06	0.05	-1.00	0		
3072913315	SMP	1	1314.22	590.03	1043.03	572.66	17.61	17.61	3.36	16.71	16.71	3.08	1312.88	593.29	1321.16	593.34	1042.59	575.54	1051.01	575.56	1019.48	503.09	977.56	483.58	0	1	1	2	-1	-1	5.35	33.58	637.15	59.44	36.86	631.86	0.11	0.08	-0.99	0.06	0.06	-1.00	0		
3072946666	SMP	1	1312.44	590.26	1041.15	573.35	17.73	17.73	3.36	16.69	16.69	3.10	1310.97	593.46	1319.30	593.45	1040.63	576.09	1049.05	576.18	1018.66	503.41	970.65	485.77	0	1	1	2	-1	-1	5.73	33.54	636.87	59.81	36.73	631.70	0.10	0.08	-0.99	0.06	0.06	-1.00	0		
3072979956	SMP	1	1310.60	588.87	1038.90	572.12	17.87	17.87	3.37	15.93	15.93	3.09	1309.11	592.10	1317.34	592.23	1038.64	575.08	1047.08	575.05	1018.06	503.59	978.71	485.72	0	1	1	2	-1	-1	6.11	33.81	637.04	60.18	36.93	631.33	0.10	0.08	-0.99	0.07	0.06	-1.00	0		
3073013282	SMP	1	1311.07	588.50	1039.08	571.96	17.57	17.57	3.37	15.76	15.76	3.07	1309.65	591.68	1317.83	591.71	1039.06	574.79	1047.48	574.93	1017.73	504.29	986.98	486.20	0	1	1	2	-1	-1	6.01	33.92	637.38	60.10	36.97	631.35	0.10	0.08	-0.99	0.08	0.06	-0.99	0		
3073046618	SMP	1	1312.47	588.46	1040.60	572.04	17.36	17.36	3.36	16.41	16.41	3.08	1310.82	591.80	1319.06	591.75	1040.03	575.02	1048.39	575.20	1014.54	503.99	967.79	484.99	0	1	1	2	-1	-1	5.77	33.90	637.32	59.91	36.92	631.43	0.09	0.08	-0.99	0.06	0.07	-1.00	0		
3073079939	SMP	1	1317.44	587.45	1045.91	571.28	17.04	17.04	3.34	16.56	16.56	3.10	1313.29	591.42	1321.51	591.42	0.00	0.00	1051.09	574.83	716.26	501.63	716.80	483.74	0	1	1	2	-1	-1	5.27	33.98	637.43	59.86	37.32	637.17	-0.01	0.11	-0.99	-0.04	0.09	-1.00	0		
3073113279	SMP	1	1318.36	586.16	1047.91	569.38	16.86	16.86	3.32	15.04	15.04	3.06	1313.45	590.88	1321.71	590.85	1043.06	574.04	1051.52	574.23	655.25	488.21	546.44	468.89	0	1	1	2	-1	-1	5.24	34.08	637.31	59.29	37.12	631.37	-0.04	0.14	-0.99	-0.11	0.14	-0.98	0		
3073146596	SMP	1	1318.62	586.35	1048.00	570.07	17.04	17.04	3.31	15.77	15.77	3.05	1313.57	590.95	1321.88	590.97	1043.19	574.04	1051.70	574.23	639.86	483.43	537.65	477.96	0	1	1	2	-1	-1	5.20	34.05	636.99	59.19	37.07	630.61	-0.04	0.14	-0.99	-0.11	0.11	-0.99	0		
3073179935	SMP	1	1319.29	586.23	1048.34	568.89	16.96	16.96	3.30	14.82	14.82	3.01	1314.20	590.64	1322.46	590.62	1043.77	573.50	1052.22	573.83	630.82	484.01	558.89	457.71	0	1	1	2	-1	-1	5.08	34.11	636.92	59.06	37.15	630.44	-0.05	0.13	-0.99	-0.10	0.14	-0.99	0		
3073213265	SMP	1	1319.55	586.16	1048.83	568.79	16.93	16.93	3.29	14.71	14.71	2.97	1314.64	590.83	1322.87	590.84	1044.21	573.57	1052.68	573.83	637.18	473.10	565.66	446.85	0	1	1	2	-1	-1	5.00	34.07	637.03	58.93	37.12	629.93	-0.04	0.14	-0.99	-0.10	0.14	-0.98	0		
